MeSH Headings	records	% of 112
BODY WEIGHT	1	0.893
BRONCHITIS	1	0.893
CANDY	1	0.893
CANNABIS	1	0.893
CATATONIA	1	0.893
CHILD PRESCHOOL	1	0.893
CHILD WELFARE	1	0.893
CHINA	1	0.893
CHROMOSOMES	1	0.893
COLIPHAGES	1	0.893
COMMUNICATIONS MEDIA	1	0.893
COMMUNITY HEALTH SERVICES	1	0.893
CONCEPT FORMATION	1	0.893
CONTRACEPTION BEHAVIOR	1	0.893
CONTRACEPTIVE AGENTS	1	0.893
CONTRACEPTIVES ORAL	1	0.893
CORONARY DISEASE	1	0.893
CRIMINAL PSYCHOLOGY	1	0.893
DEATH	1	0.893
DENTAL PROPHYLAXIS	1	0.893
DIET REDUCING	1	0.893
DNA	1	0.893
DNA VIRAL	1	0.893
DRUG AND NARCOTIC CONTROL	1	0.893
DRUG PRESCRIPTIONS	1	0.893
EDUCATION MEDICAL	1	0.893
ELECTROCARDIOGRAPHY	1	0.893
ELECTROCONVULSIVE THERAPY	1	0.893
ENGLAND	1	0.893
ENVIRONMENTAL EXPOSURE	1	0.893
ENVIRONMENTAL HEALTH	1	0.893
ENVIRONMENTAL POLLUTION	1	0.893
EQUIPMENT AND SUPPLIES	1	0.893
ETHICS MEDICAL	1	0.893
ETHNIC GROUPS	1	0.893
FINANCIAL MANAGEMENT	1	0.893
FLORIDA	1	0.893
FOLKLORE	1	0.893
FOOD PROCESSING INDUSTRY	1	0.893
FRUIT	1	0.893
GENETIC CODE	1	0.893
GENITAL NEOPLASMS FEMALE	1	0.893
GERIATRICS	1	0.893
GERMANY	1	0.893
GROUP PROCESSES	1	0.893
GUINEA BISSAU	1	0.893
HABITS	1	0.893
HATE	1	0.893
HEALTH PLANNING	1	0.893
HEALTH RESORTS	1	0.893
HEPATITIS A	1	0.893
HERBICIDES	1	0.893
HISTORY 19TH CENTURY	1	0.893
HISTORY OF MEDICINE	1	0.893
HOSPITALS	1	0.893
HOSPITALS PUBLIC	1	0.893
ILLUSIONS	1	0.893
IMMUNIZATION PROGRAMS	1	0.893
INCEST	1	0.893
INDUSTRY	1	0.893
INFANT	1	0.893
INFANT NEWBORN	1	0.893
INFANT NUTRITIONAL PHYSIOLOGICAL PHENOMENA	1	0.893
INFORMATION SERVICES	1	0.893
JUDAISM	1	0.893
LANGUAGE	1	0.893
LIBIDO	1	0.893
LIFE STYLE	1	0.893
LYSERGIC ACID DIETHYLAMIDE	1	0.893
MAGIC	1	0.893
MARYLAND	1	0.893
MASS MEDIA	1	0.893
MATERNAL WELFARE	1	0.893
MEDICAL LABORATORY SCIENCE	1	0.893
MEDICAL STAFF HOSPITAL	1	0.893
MENTAL DISORDERS	1	0.893
MENTAL HEALTH	1	0.893
METHODS	1	0.893
MILITARY MEDICINE	1	0.893
MILK	1	0.893
MINERAL WATERS	1	0.893
MUTATION	1	0.893
NEWSPAPERS AS TOPIC	1	0.893
NOISE	1	0.893
NONPRESCRIPTION DRUGS	1	0.893
NURSES	1	0.893
NURSING SERVICE HOSPITAL	1	0.893
NUTRITIONAL SCIENCES	1	0.893
NUTRITIONAL STATUS	1	0.893
OBESITY	1	0.893
OCCUPATIONAL MEDICINE	1	0.893
PAMPHLETS	1	0.893
PARANOID DISORDERS	1	0.893
PARAPSYCHOLOGY	1	0.893
PEPTIC ULCER	1	0.893
PERCEPTION	1	0.893
PERCEPTUAL DISTORTION	1	0.893
PERSONNEL MANAGEMENT	1	0.893
PESTICIDES	1	0.893
PHARMACEUTICAL PREPARATIONS	1	0.893
PHARMACOLOGY	1	0.893
PHARMACY	1	0.893
PHILOSOPHY	1	0.893
PHILOSOPHY MEDICAL	1	0.893
PHYSICAL EDUCATION AND TRAINING	1	0.893
PLATELET TRANSFUSION	1	0.893
POLIOMYELITIS	1	0.893
POLIOVIRUS VACCINE ORAL	1	0.893
POPULATION SURVEILLANCE	1	0.893
PREANESTHETIC MEDICATION	1	0.893
PREVENTIVE MEDICINE	1	0.893
PROBABILITY	1	0.893
PSYCHOANALYTIC THEORY	1	0.893
PSYCHOLOGY APPLIED	1	0.893
PSYCHOLOGY CHILD	1	0.893
PSYCHOLOGY SOCIAL	1	0.893
PSYCHOTIC DISORDERS	1	0.893
PUBLIC HEALTH DENTISTRY	1	0.893
PUBLIC OPINION	1	0.893
PUBLIC POLICY	1	0.893
QUACKERY	1	0.893
RADIATION EFFECTS	1	0.893
RADIATION GENETICS	1	0.893
RED CROSS	1	0.893
RELIGION AND MEDICINE	1	0.893
REPUBLIC OF BELARUS	1	0.893
RESEARCH	1	0.893
RESPIRATORY TRACT DISEASES	1	0.893
REWARD	1	0.893
RNA	1	0.893
RNA MESSENGER	1	0.893
RURAL HEALTH	1	0.893
RURAL POPULATION	1	0.893
RUSSIA	1	0.893
SAMPLING STUDIES	1	0.893
SANITATION	1	0.893
SCHISTOSOMIASIS	1	0.893
SCHOOLS	1	0.893
SEROLOGIC TESTS	1	0.893
SKIN NEOPLASMS	1	0.893
SNAKE BITES	1	0.893
SOCIAL CONTROL INFORMAL	1	0.893
SOCIAL DISTANCE	1	0.893
SOCIAL PROBLEMS	1	0.893
SOCIAL WELFARE	1	0.893
SOCIAL WORK	1	0.893
SOCIOLOGY	1	0.893
SOUTH AMERICA	1	0.893
SPORTS	1	0.893
STERILIZATION	1	0.893
STERILIZATION REPRODUCTIVE	1	0.893
STOMACH NEOPLASMS	1	0.893
STUDENTS	1	0.893
SUGGESTION	1	0.893
TELEVISION	1	0.893
THERAPEUTICS	1	0.893
TONGUE NEOPLASMS	1	0.893
TRICLOSAN	1	0.893
UKRAINE	1	0.893
UNCONSCIOUS PSYCHOLOGY	1	0.893
UNITED KINGDOM	1	0.893
UNIVERSITIES	1	0.893
UTOPIAS	1	0.893
UZBEKISTAN	1	0.893
VACCINATION	1	0.893
VETERINARY MEDICINE	1	0.893
VIETNAM	1	0.893
WARFARE	1	0.893
WATER POLLUTION	1	0.893
WORLD HEALTH ORGANIZATION	1	0.893
(0 MeSH Headings value(s) outside display options.)
(8 records (7.143%) do not contain data in the field being analyzed.)
