MeSH Headings	Freq	StartYear	EndYear	Database	TermType
OCCUPATIONS	1	1950	1959	MEDLINE-WOS	mesh
PAMPHLETS	1	1950	1959	MEDLINE-WOS	mesh
PHARMACEUTICAL PREPARATIONS	1	1950	1959	MEDLINE-WOS	mesh
PHARMACEUTICAL SERVICES	1	1950	1959	MEDLINE-WOS	mesh
PHARMACIES	1	1950	1959	MEDLINE-WOS	mesh
PHYSICIANS	1	1950	1959	MEDLINE-WOS	mesh
PHYSICIANS FAMILY	1	1950	1959	MEDLINE-WOS	mesh
POLITICS	1	1950	1959	MEDLINE-WOS	mesh
PRESERVATION BIOLOGICAL	1	1950	1959	MEDLINE-WOS	mesh
PSYCHOLOGICAL TECHNIQUES	1	1950	1959	MEDLINE-WOS	mesh
PSYCHOLOGY	1	1950	1959	MEDLINE-WOS	mesh
PUBLIC RELATIONS	1	1950	1959	MEDLINE-WOS	mesh
PUBLICATIONS	1	1950	1959	MEDLINE-WOS	mesh
QUACKERY	1	1950	1959	MEDLINE-WOS	mesh
RABIES	1	1950	1959	MEDLINE-WOS	mesh
RABIES VACCINES	1	1950	1959	MEDLINE-WOS	mesh
RADIUM	1	1950	1959	MEDLINE-WOS	mesh
REFLEX	1	1950	1959	MEDLINE-WOS	mesh
RESEARCH	1	1950	1959	MEDLINE-WOS	mesh
RHEUMATIC DISEASES	1	1950	1959	MEDLINE-WOS	mesh
RURAL HEALTH	1	1950	1959	MEDLINE-WOS	mesh
RURAL POPULATION	1	1950	1959	MEDLINE-WOS	mesh
SCIENCE	1	1950	1959	MEDLINE-WOS	mesh
SELF EXAMINATION	1	1950	1959	MEDLINE-WOS	mesh
SENSATION	1	1950	1959	MEDLINE-WOS	mesh
SEX	1	1950	1959	MEDLINE-WOS	mesh
SEX EDUCATION	1	1950	1959	MEDLINE-WOS	mesh
SEXUAL BEHAVIOR	1	1950	1959	MEDLINE-WOS	mesh
SOCIAL WORK	1	1950	1959	MEDLINE-WOS	mesh
SOCIETIES	1	1950	1959	MEDLINE-WOS	mesh
SOIL	1	1950	1959	MEDLINE-WOS	mesh
SPAIN	1	1950	1959	MEDLINE-WOS	mesh
STATISTICS AS TOPIC	1	1950	1959	MEDLINE-WOS	mesh
SURVEYS AND QUESTIONNAIRES	1	1950	1959	MEDLINE-WOS	mesh
SYPHILIS	1	1950	1959	MEDLINE-WOS	mesh
TEA	1	1950	1959	MEDLINE-WOS	mesh
TEMPERANCE	1	1950	1959	MEDLINE-WOS	mesh
TUBERCULOSIS SOCIETIES	1	1950	1959	MEDLINE-WOS	mesh
TUNICA MEDIA	1	1950	1959	MEDLINE-WOS	mesh
UNITED STATES	1	1950	1959	MEDLINE-WOS	mesh
VITAL STATISTICS	1	1950	1959	MEDLINE-WOS	mesh
VITAMIN A	1	1950	1959	MEDLINE-WOS	mesh
VITAMIN A DEFICIENCY	1	1950	1959	MEDLINE-WOS	mesh
WAKEFULNESS	1	1950	1959	MEDLINE-WOS	mesh
WEAPONS	1	1950	1959	MEDLINE-WOS	mesh
XEROPHTHALMIA	1	1950	1959	MEDLINE-WOS	mesh
HUMANS	77	1960	1969	MEDLINE-WOS	mesh
PROPAGANDA	64	1960	1969	MEDLINE-WOS	mesh
HEALTH EDUCATION	24	1960	1969	MEDLINE-WOS	mesh
COMMUNICATION	11	1960	1969	MEDLINE-WOS	mesh
ADOLESCENT	10	1960	1969	MEDLINE-WOS	mesh
ATTITUDE	9	1960	1969	MEDLINE-WOS	mesh
FEMALE	9	1960	1969	MEDLINE-WOS	mesh
USSR	9	1960	1969	MEDLINE-WOS	mesh
ADVERTISING AS TOPIC	7	1960	1969	MEDLINE-WOS	mesh
MALE	7	1960	1969	MEDLINE-WOS	mesh
NEOPLASMS	7	1960	1969	MEDLINE-WOS	mesh
SMOKING	7	1960	1969	MEDLINE-WOS	mesh
CHILD	6	1960	1969	MEDLINE-WOS	mesh
HEALTH	6	1960	1969	MEDLINE-WOS	mesh
PUBLIC HEALTH	6	1960	1969	MEDLINE-WOS	mesh
STATE MEDICINE	6	1960	1969	MEDLINE-WOS	mesh
SWEDEN	6	1960	1969	MEDLINE-WOS	mesh
ADULT	5	1960	1969	MEDLINE-WOS	mesh
UNITED STATES	5	1960	1969	MEDLINE-WOS	mesh
ARTERIOSCLEROSIS	4	1960	1969	MEDLINE-WOS	mesh
COMMUNICABLE DISEASE CONTROL	4	1960	1969	MEDLINE-WOS	mesh
COMMUNISM	4	1960	1969	MEDLINE-WOS	mesh
DRUG INDUSTRY	4	1960	1969	MEDLINE-WOS	mesh
FAMILY PLANNING SERVICES	4	1960	1969	MEDLINE-WOS	mesh
FEEDING BEHAVIOR	4	1960	1969	MEDLINE-WOS	mesh
HISTORY 20TH CENTURY	4	1960	1969	MEDLINE-WOS	mesh
HYGIENE	4	1960	1969	MEDLINE-WOS	mesh
LEARNING	4	1960	1969	MEDLINE-WOS	mesh
NUTRITIONAL PHYSIOLOGICAL PHENOMENA	4	1960	1969	MEDLINE-WOS	mesh
PHYSICIANS	4	1960	1969	MEDLINE-WOS	mesh
PUBLIC RELATIONS	4	1960	1969	MEDLINE-WOS	mesh
STATISTICS AS TOPIC	4	1960	1969	MEDLINE-WOS	mesh
ASIA	3	1960	1969	MEDLINE-WOS	mesh
BEHAVIOR	3	1960	1969	MEDLINE-WOS	mesh
BRAZIL	3	1960	1969	MEDLINE-WOS	mesh
COLORING AGENTS	3	1960	1969	MEDLINE-WOS	mesh
DIET	3	1960	1969	MEDLINE-WOS	mesh
ECONOMICS	3	1960	1969	MEDLINE-WOS	mesh
FRANCE	3	1960	1969	MEDLINE-WOS	mesh
HEALTH EDUCATION DENTAL	3	1960	1969	MEDLINE-WOS	mesh
INTERPERSONAL RELATIONS	3	1960	1969	MEDLINE-WOS	mesh
KNOWLEDGE	3	1960	1969	MEDLINE-WOS	mesh
LIGHT	3	1960	1969	MEDLINE-WOS	mesh
LUNG NEOPLASMS	3	1960	1969	MEDLINE-WOS	mesh
MEDICINE	3	1960	1969	MEDLINE-WOS	mesh
MEMORY	3	1960	1969	MEDLINE-WOS	mesh
NURSING	3	1960	1969	MEDLINE-WOS	mesh
POLAND	3	1960	1969	MEDLINE-WOS	mesh
POLITICS	3	1960	1969	MEDLINE-WOS	mesh
SCHOOL HEALTH SERVICES	3	1960	1969	MEDLINE-WOS	mesh
SUBSTANCE RELATED DISORDERS	3	1960	1969	MEDLINE-WOS	mesh
TUBERCULOSIS	3	1960	1969	MEDLINE-WOS	mesh
ANXIETY	2	1960	1969	MEDLINE-WOS	mesh
ASIA SOUTHEASTERN	2	1960	1969	MEDLINE-WOS	mesh
CONGRESSES AS TOPIC	2	1960	1969	MEDLINE-WOS	mesh
CONTRACEPTION	2	1960	1969	MEDLINE-WOS	mesh
DENTAL CARIES	2	1960	1969	MEDLINE-WOS	mesh
DEVELOPING COUNTRIES	2	1960	1969	MEDLINE-WOS	mesh
EDUCATION	2	1960	1969	MEDLINE-WOS	mesh
ENVIRONMENT	2	1960	1969	MEDLINE-WOS	mesh
FEAR	2	1960	1969	MEDLINE-WOS	mesh
GUILT	2	1960	1969	MEDLINE-WOS	mesh
HEALTH SURVEYS	2	1960	1969	MEDLINE-WOS	mesh
INCOME	2	1960	1969	MEDLINE-WOS	mesh
INDIA	2	1960	1969	MEDLINE-WOS	mesh
INTRAUTERINE DEVICES	2	1960	1969	MEDLINE-WOS	mesh
ITALY	2	1960	1969	MEDLINE-WOS	mesh
JEWS	2	1960	1969	MEDLINE-WOS	mesh
LEGISLATION MEDICAL	2	1960	1969	MEDLINE-WOS	mesh
LEGISLATION PHARMACY	2	1960	1969	MEDLINE-WOS	mesh
MENTAL PROCESSES	2	1960	1969	MEDLINE-WOS	mesh
MIDDLE AGED	2	1960	1969	MEDLINE-WOS	mesh
MOTIVATION	2	1960	1969	MEDLINE-WOS	mesh
ORAL HEALTH	2	1960	1969	MEDLINE-WOS	mesh
PERSONALITY	2	1960	1969	MEDLINE-WOS	mesh
PSYCHOLOGICAL TESTS	2	1960	1969	MEDLINE-WOS	mesh
PUBLIC HEALTH ADMINISTRATION	2	1960	1969	MEDLINE-WOS	mesh
RELIGION	2	1960	1969	MEDLINE-WOS	mesh
SENSORY DEPRIVATION	2	1960	1969	MEDLINE-WOS	mesh
SEXUAL BEHAVIOR	2	1960	1969	MEDLINE-WOS	mesh
SEXUALLY TRANSMITTED DISEASES	2	1960	1969	MEDLINE-WOS	mesh
SOCIAL MEDICINE	2	1960	1969	MEDLINE-WOS	mesh
SPAIN	2	1960	1969	MEDLINE-WOS	mesh
WAR CRIMES	2	1960	1969	MEDLINE-WOS	mesh
ACADEMIES AND INSTITUTES	1	1960	1969	MEDLINE-WOS	mesh
ACCIDENTS OCCUPATIONAL	1	1960	1969	MEDLINE-WOS	mesh
AFRICA	1	1960	1969	MEDLINE-WOS	mesh
AGED	1	1960	1969	MEDLINE-WOS	mesh
AGING	1	1960	1969	MEDLINE-WOS	mesh
AIR POLLUTION	1	1960	1969	MEDLINE-WOS	mesh
AIRCRAFT	1	1960	1969	MEDLINE-WOS	mesh
ANEMIA	1	1960	1969	MEDLINE-WOS	mesh
ANESTHESIA	1	1960	1969	MEDLINE-WOS	mesh
ANESTHESIOLOGY	1	1960	1969	MEDLINE-WOS	mesh
ANIMALS	1	1960	1969	MEDLINE-WOS	mesh
ANTITUBERCULAR AGENTS	1	1960	1969	MEDLINE-WOS	mesh
AROUSAL	1	1960	1969	MEDLINE-WOS	mesh
AUTHORITARIANISM	1	1960	1969	MEDLINE-WOS	mesh
AUTOANALYSIS	1	1960	1969	MEDLINE-WOS	mesh
BIOLOGICAL PRODUCTS	1	1960	1969	MEDLINE-WOS	mesh
BIOLOGICAL WARFARE	1	1960	1969	MEDLINE-WOS	mesh
BIOMEDICAL RESEARCH	1	1960	1969	MEDLINE-WOS	mesh
BLOOD BANKS	1	1960	1969	MEDLINE-WOS	mesh
BLOOD CELL COUNT	1	1960	1969	MEDLINE-WOS	mesh
BLOOD CHEMICAL ANALYSIS	1	1960	1969	MEDLINE-WOS	mesh
BLOOD DONORS	1	1960	1969	MEDLINE-WOS	mesh
BLOOD TRANSFUSION	1	1960	1969	MEDLINE-WOS	mesh
BODY WEIGHT	1	1960	1969	MEDLINE-WOS	mesh
BRONCHITIS	1	1960	1969	MEDLINE-WOS	mesh
CANDY	1	1960	1969	MEDLINE-WOS	mesh
CANNABIS	1	1960	1969	MEDLINE-WOS	mesh
CATATONIA	1	1960	1969	MEDLINE-WOS	mesh
CHILD PRESCHOOL	1	1960	1969	MEDLINE-WOS	mesh
CHILD WELFARE	1	1960	1969	MEDLINE-WOS	mesh
CHINA	1	1960	1969	MEDLINE-WOS	mesh
CHROMOSOMES	1	1960	1969	MEDLINE-WOS	mesh
COLIPHAGES	1	1960	1969	MEDLINE-WOS	mesh
COMMUNICATIONS MEDIA	1	1960	1969	MEDLINE-WOS	mesh
COMMUNITY HEALTH SERVICES	1	1960	1969	MEDLINE-WOS	mesh
CONCEPT FORMATION	1	1960	1969	MEDLINE-WOS	mesh
CONTRACEPTION BEHAVIOR	1	1960	1969	MEDLINE-WOS	mesh
CONTRACEPTIVE AGENTS	1	1960	1969	MEDLINE-WOS	mesh
CONTRACEPTIVES ORAL	1	1960	1969	MEDLINE-WOS	mesh
CORONARY DISEASE	1	1960	1969	MEDLINE-WOS	mesh
CRIMINAL PSYCHOLOGY	1	1960	1969	MEDLINE-WOS	mesh
DEATH	1	1960	1969	MEDLINE-WOS	mesh
DENTAL PROPHYLAXIS	1	1960	1969	MEDLINE-WOS	mesh
DIET REDUCING	1	1960	1969	MEDLINE-WOS	mesh
DNA	1	1960	1969	MEDLINE-WOS	mesh
DNA VIRAL	1	1960	1969	MEDLINE-WOS	mesh
DRUG AND NARCOTIC CONTROL	1	1960	1969	MEDLINE-WOS	mesh
DRUG PRESCRIPTIONS	1	1960	1969	MEDLINE-WOS	mesh
EDUCATION MEDICAL	1	1960	1969	MEDLINE-WOS	mesh
ELECTROCARDIOGRAPHY	1	1960	1969	MEDLINE-WOS	mesh
ELECTROCONVULSIVE THERAPY	1	1960	1969	MEDLINE-WOS	mesh
ENGLAND	1	1960	1969	MEDLINE-WOS	mesh
ENVIRONMENTAL EXPOSURE	1	1960	1969	MEDLINE-WOS	mesh
ENVIRONMENTAL HEALTH	1	1960	1969	MEDLINE-WOS	mesh
ENVIRONMENTAL POLLUTION	1	1960	1969	MEDLINE-WOS	mesh
EQUIPMENT AND SUPPLIES	1	1960	1969	MEDLINE-WOS	mesh
ETHICS MEDICAL	1	1960	1969	MEDLINE-WOS	mesh
ETHNIC GROUPS	1	1960	1969	MEDLINE-WOS	mesh
FINANCIAL MANAGEMENT	1	1960	1969	MEDLINE-WOS	mesh
FLORIDA	1	1960	1969	MEDLINE-WOS	mesh
FOLKLORE	1	1960	1969	MEDLINE-WOS	mesh
FOOD PROCESSING INDUSTRY	1	1960	1969	MEDLINE-WOS	mesh
FRUIT	1	1960	1969	MEDLINE-WOS	mesh
GENETIC CODE	1	1960	1969	MEDLINE-WOS	mesh
GENITAL NEOPLASMS FEMALE	1	1960	1969	MEDLINE-WOS	mesh
GERIATRICS	1	1960	1969	MEDLINE-WOS	mesh
GERMANY	1	1960	1969	MEDLINE-WOS	mesh
GROUP PROCESSES	1	1960	1969	MEDLINE-WOS	mesh
GUINEA BISSAU	1	1960	1969	MEDLINE-WOS	mesh
HABITS	1	1960	1969	MEDLINE-WOS	mesh
HATE	1	1960	1969	MEDLINE-WOS	mesh
HEALTH PLANNING	1	1960	1969	MEDLINE-WOS	mesh
HEALTH RESORTS	1	1960	1969	MEDLINE-WOS	mesh
HEPATITIS A	1	1960	1969	MEDLINE-WOS	mesh
HERBICIDES	1	1960	1969	MEDLINE-WOS	mesh
HISTORY 19TH CENTURY	1	1960	1969	MEDLINE-WOS	mesh
HISTORY OF MEDICINE	1	1960	1969	MEDLINE-WOS	mesh
HOSPITALS	1	1960	1969	MEDLINE-WOS	mesh
HOSPITALS PUBLIC	1	1960	1969	MEDLINE-WOS	mesh
ILLUSIONS	1	1960	1969	MEDLINE-WOS	mesh
IMMUNIZATION PROGRAMS	1	1960	1969	MEDLINE-WOS	mesh
INCEST	1	1960	1969	MEDLINE-WOS	mesh
INDUSTRY	1	1960	1969	MEDLINE-WOS	mesh
INFANT	1	1960	1969	MEDLINE-WOS	mesh
INFANT NEWBORN	1	1960	1969	MEDLINE-WOS	mesh
INFANT NUTRITIONAL PHYSIOLOGICAL PHENOMENA	1	1960	1969	MEDLINE-WOS	mesh
INFORMATION SERVICES	1	1960	1969	MEDLINE-WOS	mesh
JUDAISM	1	1960	1969	MEDLINE-WOS	mesh
LANGUAGE	1	1960	1969	MEDLINE-WOS	mesh
LIBIDO	1	1960	1969	MEDLINE-WOS	mesh
LIFE STYLE	1	1960	1969	MEDLINE-WOS	mesh
LYSERGIC ACID DIETHYLAMIDE	1	1960	1969	MEDLINE-WOS	mesh
MAGIC	1	1960	1969	MEDLINE-WOS	mesh
MARYLAND	1	1960	1969	MEDLINE-WOS	mesh
MASS MEDIA	1	1960	1969	MEDLINE-WOS	mesh
MATERNAL WELFARE	1	1960	1969	MEDLINE-WOS	mesh
MEDICAL LABORATORY SCIENCE	1	1960	1969	MEDLINE-WOS	mesh
MEDICAL STAFF HOSPITAL	1	1960	1969	MEDLINE-WOS	mesh
MENTAL DISORDERS	1	1960	1969	MEDLINE-WOS	mesh
MENTAL HEALTH	1	1960	1969	MEDLINE-WOS	mesh
METHODS	1	1960	1969	MEDLINE-WOS	mesh
MILITARY MEDICINE	1	1960	1969	MEDLINE-WOS	mesh
MILK	1	1960	1969	MEDLINE-WOS	mesh
MINERAL WATERS	1	1960	1969	MEDLINE-WOS	mesh
MUTATION	1	1960	1969	MEDLINE-WOS	mesh
NEWSPAPERS AS TOPIC	1	1960	1969	MEDLINE-WOS	mesh
NOISE	1	1960	1969	MEDLINE-WOS	mesh
NONPRESCRIPTION DRUGS	1	1960	1969	MEDLINE-WOS	mesh
NURSES	1	1960	1969	MEDLINE-WOS	mesh
NURSING SERVICE HOSPITAL	1	1960	1969	MEDLINE-WOS	mesh
NUTRITIONAL SCIENCES	1	1960	1969	MEDLINE-WOS	mesh
NUTRITIONAL STATUS	1	1960	1969	MEDLINE-WOS	mesh
OBESITY	1	1960	1969	MEDLINE-WOS	mesh
OCCUPATIONAL MEDICINE	1	1960	1969	MEDLINE-WOS	mesh
PAMPHLETS	1	1960	1969	MEDLINE-WOS	mesh
PARANOID DISORDERS	1	1960	1969	MEDLINE-WOS	mesh
PARAPSYCHOLOGY	1	1960	1969	MEDLINE-WOS	mesh
PEPTIC ULCER	1	1960	1969	MEDLINE-WOS	mesh
PERCEPTION	1	1960	1969	MEDLINE-WOS	mesh
PERCEPTUAL DISTORTION	1	1960	1969	MEDLINE-WOS	mesh
PERSONNEL MANAGEMENT	1	1960	1969	MEDLINE-WOS	mesh
PESTICIDES	1	1960	1969	MEDLINE-WOS	mesh
PHARMACEUTICAL PREPARATIONS	1	1960	1969	MEDLINE-WOS	mesh
PHARMACOLOGY	1	1960	1969	MEDLINE-WOS	mesh
PHARMACY	1	1960	1969	MEDLINE-WOS	mesh
PHILOSOPHY	1	1960	1969	MEDLINE-WOS	mesh
PHILOSOPHY MEDICAL	1	1960	1969	MEDLINE-WOS	mesh
PHYSICAL EDUCATION AND TRAINING	1	1960	1969	MEDLINE-WOS	mesh
